,BASEL_cloud_cover,BASEL_humidity,BASEL_pressure,BASEL_global_radiation,BASEL_precipitation,BASEL_sunshine,BASEL_temp_mean,BASEL_temp_min,BASEL_temp_max,BASEL_BBQ_weather
1817,5,0.8,1.028,0.59,0.06,5.0,-5.2,-10.7,-0.5,False
1818,8,0.88,1.0206,0.24,0.04,0.0,3.2,-0.8,8.0,False
1819,7,0.72,1.0142,0.38,0.0,0.9,8.3,4.2,11.5,False
1820,8,0.85,1.0024,0.22,1.0,1.6,5.3,1.5,10.9,False
1821,8,0.96,1.0032,0.07,0.77,0.0,1.2,-0.1,2.6,False
1822,8,0.91,1.0156,0.05,0.09,0.0,0.8,0.0,2.2,False
1823,8,0.88,1.0148,0.15,0.32,0.0,0.3,-0.5,1.6,False
1824,8,0.88,1.0279,0.21,0.05,0.0,1.6,0.6,2.2,False
1825,6,0.85,1.0358,0.49,0.0,1.8,0.5,-2.2,2.7,False
1826,8,0.92,1.0323,0.17,0.16,0.0,0.2,-2.2,2.0,False
1827,7,0.94,1.029,0.3,0.07,0.3,3.8,2.0,5.7,False
1828,8,0.86,1.0283,0.14,0.61,0.0,5.7,2.1,10.0,False
1829,5,0.78,1.0382,0.43,0.0,1.9,3.7,2.1,5.9,False
1830,0,0.8,1.0355,0.67,0.0,7.7,1.8,-1.9,6.9,False
1831,6,0.8,1.0331,0.28,0.11,0.3,3.7,-2.2,8.3,False
1832,7,0.78,1.0349,0.24,0.01,0.0,8.4,5.5,9.9,False
1833,3,0.81,1.0355,0.64,0.0,4.5,5.7,1.6,9.5,False
1834,3,0.7,1.028,0.69,0.03,6.4,6.1,-1.1,13.3,False
1835,6,0.83,1.0307,0.3,0.06,0.0,8.6,5.2,11.4,False
1836,0,0.86,1.0296,0.69,0.0,7.2,5.4,1.3,11.4,False
1837,3,0.79,1.0311,0.69,0.0,7.3,4.6,1.1,10.1,False
1838,7,0.84,1.0286,0.41,0.22,0.7,5.1,1.3,8.7,False
1839,2,0.77,1.0316,0.71,0.0,7.4,4.8,-0.6,7.6,False
1840,0,0.85,1.0326,0.72,0.0,6.7,0.4,-2.8,5.3,False
1841,1,0.78,1.0301,0.76,0.0,7.6,-0.5,-2.8,3.4,False
1842,0,0.81,1.0299,0.76,0.0,7.4,-1.2,-3.0,2.6,False
1843,1,0.85,1.026,0.72,0.0,7.1,-0.7,-3.2,3.3,False
1844,8,0.81,1.0086,0.14,0.32,0.0,2.6,-1.3,9.1,False
1845,6,0.76,1.0164,0.56,0.0,2.3,3.2,1.6,5.9,False
1846,8,0.74,1.0173,0.12,0.06,0.0,6.5,3.0,9.7,False
1847,7,0.77,1.0141,0.22,0.63,0.0,6.6,4.3,9.6,False
1848,5,0.74,1.0192,0.5,0.0,3.4,2.6,-1.2,5.5,False
1849,7,0.8,1.0194,0.43,0.03,0.7,0.5,-1.1,2.6,False
1850,6,0.78,1.0179,0.48,0.08,1.4,-1.2,-2.9,0.5,False
1851,7,0.83,1.0192,0.39,0.12,0.0,-2.9,-3.6,-1.6,False
1852,7,0.76,1.0198,0.53,0.0,0.8,-3.7,-6.2,-1.6,False
1853,5,0.75,1.0199,0.63,0.0,2.3,-6.1,-8.8,-3.6,False
1854,7,0.73,1.0156,0.8,0.0,2.4,-4.6,-7.1,-1.5,False
1855,1,0.67,1.0232,0.91,0.0,7.7,-5.9,-8.2,-3.7,False
1856,5,0.68,1.0329,0.57,0.0,1.4,-6.1,-10.7,-3.3,False
1857,8,0.69,1.0308,0.38,0.07,0.0,-0.7,-3.4,2.3,False
1858,8,0.84,1.0268,0.46,0.13,0.7,2.0,-0.9,4.1,False
1859,7,0.84,1.0324,0.45,0.01,0.2,1.7,-2.2,4.1,False
1860,6,0.85,1.0327,0.57,0.0,1.3,2.6,-1.0,5.7,False
1861,5,0.8,1.0314,0.94,0.0,5.1,1.4,-1.9,5.4,False
1862,1,0.76,1.0258,1.01,0.0,8.3,0.8,-2.2,4.4,False
1863,4,0.81,1.026,0.7,0.0,1.8,0.7,-1.9,4.8,False
1864,5,0.8,1.0269,0.91,0.0,4.3,1.6,-1.3,6.5,False
1865,3,0.67,1.0303,1.01,0.0,6.1,2.9,-0.5,9.7,False
1866,1,0.6,1.0331,1.11,0.0,9.1,3.5,-1.0,10.4,False
1867,5,0.68,1.0341,0.54,0.0,0.1,4.1,-1.6,9.2,False
1868,8,0.81,1.0274,0.12,0.38,0.0,6.6,5.3,7.9,False
1869,7,0.76,1.0133,0.28,0.54,0.0,10.2,6.5,13.0,False
1870,7,0.8,1.0052,0.42,0.33,0.3,3.0,0.3,7.0,False
1871,5,0.81,1.008,0.56,0.18,1.1,1.1,-0.4,3.2,False
1872,7,0.84,1.01,0.76,0.0,1.4,-0.3,-1.3,1.4,False
1873,7,0.81,1.0186,0.53,0.0,0.1,-1.1,-2.2,0.3,False
1874,8,0.82,1.0239,0.5,0.0,0.3,-1.3,-2.6,0.5,False
1875,7,0.77,1.0229,0.32,0.01,0.0,-0.9,-1.9,0.5,False
1876,8,0.82,1.0135,0.35,0.12,0.0,-1.0,-3.2,0.3,False
1877,8,0.79,1.0097,0.99,0.01,3.8,0.2,-1.6,4.2,False
1878,8,0.86,1.0069,0.45,0.28,0.0,-1.2,-2.0,-0.2,False
1879,8,0.89,1.006,0.64,0.06,0.0,-1.7,-3.1,0.5,False
1880,7,0.78,1.0104,0.84,0.06,0.6,-2.2,-3.7,0.7,False
1881,5,0.76,1.0138,0.93,0.0,1.8,-2.0,-4.0,1.7,False
1882,7,0.79,1.0159,0.7,0.0,0.1,-2.7,-5.7,-0.2,False
1883,7,0.71,1.0135,0.73,0.0,0.7,-1.3,-3.8,0.9,False
1884,8,0.81,1.0143,0.44,0.5,0.0,-4.0,-6.5,-2.5,False
1885,1,0.6,1.0209,1.72,0.0,9.9,-6.2,-11.4,-2.4,False
1886,1,0.66,1.015,1.62,0.0,7.9,-7.6,-14.7,-1.1,False
1887,3,0.63,1.0091,1.65,0.0,9.4,-3.9,-10.7,3.1,False
1888,4,0.58,1.0075,1.48,0.0,7.2,0.5,-4.3,7.2,False
1889,3,0.64,1.0125,1.37,0.0,6.3,-0.2,-4.4,3.7,False
1890,7,0.79,1.0073,0.78,0.06,0.1,-0.3,-2.3,2.1,False
1891,7,0.84,1.0175,0.45,0.0,0.0,-2.2,-6.1,-0.3,False
1892,6,0.79,1.0254,1.41,0.27,5.1,-3.4,-10.1,1.3,False
1893,8,0.84,1.0267,0.78,0.26,0.4,1.6,-1.4,4.9,False
1894,8,0.78,1.0295,0.56,0.0,0.4,3.0,1.1,5.6,False
1895,5,0.76,1.0283,0.9,0.0,2.9,2.6,-1.6,6.8,False
1896,4,0.66,1.02,1.57,0.0,6.8,2.5,-3.7,7.6,False
1897,8,0.7,1.0106,0.33,0.19,0.0,3.4,0.7,6.3,False
1898,3,0.66,1.0155,1.92,0.0,10.2,2.2,-2.8,7.4,False
1899,5,0.61,1.0169,1.76,0.0,8.2,5.4,-1.1,12.2,False
1900,1,0.63,1.0245,1.85,0.0,10.9,9.5,1.0,17.8,False
1901,1,0.54,1.0289,1.95,0.0,11.1,11.2,3.6,20.7,True
1902,4,0.54,1.0303,1.8,0.0,9.6,13.0,5.4,21.5,True
1903,1,0.58,1.0288,1.95,0.0,11.2,13.8,6.5,22.5,True
1904,2,0.62,1.0228,1.94,0.0,10.6,13.6,5.3,21.8,True
1905,7,0.77,1.0188,1.36,0.0,4.1,12.0,8.8,16.7,False
1906,3,0.66,1.0147,1.91,0.0,9.2,11.4,4.5,17.6,False
1907,8,0.72,1.0151,0.61,0.61,0.1,11.0,8.6,14.2,False
1908,6,0.8,1.0183,1.94,0.0,9.0,13.2,9.4,18.1,True
1909,8,0.85,1.0179,0.9,0.86,1.5,12.1,7.9,16.5,False
1910,4,0.72,1.0172,1.77,0.04,7.1,12.5,7.6,17.7,False
1911,6,0.85,1.0089,1.06,1.11,1.2,11.1,6.7,16.6,False
1912,7,0.87,1.0079,0.78,0.16,0.7,11.3,9.6,14.1,False
1913,7,0.75,1.0134,1.15,0.0,1.2,11.9,8.3,15.9,False
1914,7,0.8,1.0137,1.22,0.41,1.6,11.7,8.3,17.5,False
1915,8,0.74,1.0163,1.19,0.0,1.0,11.0,6.7,14.4,False
1916,6,0.8,1.0217,1.22,0.08,1.9,9.6,4.7,14.6,False
1917,3,0.62,1.0235,2.2,0.0,10.4,10.9,5.7,16.9,False
1918,2,0.53,1.0217,2.24,0.0,11.5,11.6,4.4,19.5,True
1919,1,0.52,1.0239,2.28,0.0,11.0,11.9,5.4,19.5,True
1920,2,0.5,1.0251,2.3,0.0,11.5,11.9,5.0,18.7,True
1921,8,0.69,1.0268,0.5,0.01,0.0,10.4,6.9,13.8,False
1922,7,0.66,1.0208,1.82,0.1,5.8,13.2,6.6,19.5,False
1923,8,0.72,1.01,0.68,0.76,0.0,12.0,7.7,14.6,False
1924,7,0.8,1.0063,0.9,0.76,0.2,7.6,5.4,9.7,False
1925,8,0.85,1.0157,0.37,0.06,0.0,3.6,0.8,5.4,False
1926,5,0.69,1.0254,1.59,0.01,4.9,5.1,-1.2,9.0,False
1927,4,0.54,1.0234,2.02,0.0,6.3,9.1,3.0,15.0,False
1928,8,0.69,1.0193,0.84,0.0,0.0,8.7,6.1,10.6,False
1929,8,0.68,1.0133,1.1,0.0,0.0,10.1,6.5,13.9,False
1930,5,0.64,1.0071,2.11,0.0,7.1,12.0,5.4,18.6,True
1931,6,0.67,1.0048,2.15,0.0,7.1,10.9,6.1,17.6,False
1932,8,0.81,0.9986,0.38,1.86,0.0,8.6,6.2,11.2,False
1933,8,0.92,1.0002,0.39,1.12,0.0,6.3,3.5,8.5,False
1934,8,0.8,1.0033,1.15,0.39,0.9,10.5,7.6,14.0,False
1935,7,0.74,1.006,1.11,0.04,0.7,9.5,6.8,12.4,False
1936,8,0.84,1.011,0.61,0.53,0.0,7.5,6.1,9.3,False
1937,6,0.78,1.0166,1.41,0.0,2.2,8.1,4.0,12.9,False
1938,1,0.54,1.0155,2.86,0.0,12.2,9.3,0.7,16.8,False
1939,7,0.7,1.0127,1.03,0.27,1.6,10.7,5.8,16.5,False
1940,8,0.96,1.0104,0.43,1.57,0.0,11.0,10.0,12.5,False
1941,7,0.82,1.011,0.98,0.06,0.2,10.8,9.1,13.3,False
1942,6,0.7,1.0169,1.89,0.07,3.2,12.8,8.3,18.8,False
1943,8,0.88,1.0206,0.54,0.42,1.1,11.0,9.4,13.8,False
1944,7,0.72,1.022,2.0,0.0,4.1,14.4,8.5,19.5,True
1945,5,0.61,1.0199,2.65,0.0,9.7,17.8,11.2,25.2,True
1946,5,0.57,1.0153,2.81,0.0,11.9,19.0,10.9,26.3,True
1947,4,0.52,1.013,2.74,0.0,10.9,20.6,12.6,28.7,True
1948,4,0.53,1.0149,2.22,0.16,6.8,19.9,12.2,27.7,False
1949,6,0.86,1.0174,1.0,0.89,0.9,14.7,10.2,21.0,False
1950,7,0.84,1.0168,1.39,0.41,1.9,11.8,9.5,17.9,False
1951,7,0.84,1.0171,1.6,0.51,2.2,11.4,8.6,16.7,False
1952,7,0.79,1.0191,0.8,0.85,1.1,10.0,7.8,13.6,False
1953,7,0.83,1.0141,0.79,0.48,0.2,10.2,7.7,14.0,False
1954,5,0.61,1.0143,2.78,0.0,8.6,10.1,5.3,15.0,False
1955,4,0.6,1.0135,2.83,0.08,9.9,10.5,6.4,15.2,False
1956,5,0.63,1.0161,2.42,0.0,6.6,9.7,4.8,14.8,False
1957,2,0.66,1.0206,3.06,0.0,12.7,9.4,2.0,16.7,False
1958,3,0.54,1.0167,2.8,0.25,10.6,12.4,2.5,20.2,False
1959,6,0.7,1.0153,2.05,0.06,5.4,14.1,8.8,21.0,False
1960,8,0.79,1.0136,0.8,0.3,0.3,13.5,11.3,16.8,False
1961,5,0.73,1.016,1.89,0.0,3.9,13.6,9.1,17.8,False
1962,7,0.92,1.0139,0.63,0.88,0.0,9.9,7.7,12.4,False
1963,5,0.77,1.0125,2.85,1.46,7.2,12.3,7.4,19.1,False
1964,8,0.82,1.0199,0.72,0.47,0.0,9.0,6.4,12.6,False
1965,4,0.7,1.0234,2.94,0.0,10.7,12.0,4.9,19.3,True
1966,4,0.62,1.019,2.99,0.3,11.4,17.4,8.0,26.0,False
1967,8,0.82,1.0156,1.19,0.07,1.1,16.7,13.8,20.0,False
1968,5,0.86,1.0148,1.48,1.75,2.4,14.6,12.4,21.0,False
1969,7,0.9,1.0205,1.08,0.48,1.2,12.1,9.1,15.1,False
1970,4,0.67,1.025,3.16,0.0,12.3,14.7,7.9,20.9,True
1971,4,0.6,1.0244,3.15,0.0,13.4,18.2,9.4,26.3,True
1972,1,0.62,1.02,3.18,0.0,14.1,21.1,11.2,29.2,True
1973,3,0.58,1.0158,2.88,0.0,13.5,22.8,14.4,30.6,True
1974,3,0.56,1.0164,3.13,0.0,14.0,23.5,16.0,30.0,True
1975,4,0.67,1.015,2.9,0.0,11.4,23.3,16.5,30.8,True
1976,7,0.83,1.0202,0.54,0.43,0.8,17.4,11.1,21.9,False
1977,4,0.67,1.0255,2.82,0.0,10.6,14.2,8.4,19.8,True
1978,4,0.63,1.022,3.19,0.0,12.0,15.1,8.8,21.3,True
1979,2,0.56,1.018,3.22,0.0,13.2,17.7,9.4,24.4,True
1980,3,0.59,1.0133,2.97,0.43,10.7,20.8,12.5,29.3,False
1981,7,0.68,1.0181,1.98,0.0,4.5,16.9,14.2,20.6,True
1982,7,0.61,1.0207,2.01,0.0,2.0,16.1,12.4,20.0,True
1983,7,0.77,1.0213,1.32,0.58,0.2,14.6,12.9,18.1,False
1984,4,0.64,1.0299,2.93,0.0,8.7,12.1,7.5,15.6,False
1985,4,0.58,1.0322,2.76,0.0,8.3,11.9,4.2,18.4,True
1986,6,0.57,1.0275,2.28,0.0,6.1,12.0,5.1,18.3,True
1987,3,0.56,1.0208,2.86,0.0,11.5,13.3,4.4,20.1,True
1988,4,0.59,1.0135,2.94,0.0,9.6,15.1,6.9,22.6,True
1989,2,0.69,1.0101,2.65,0.16,7.6,15.9,10.1,21.9,False
1990,6,0.85,1.009,1.83,1.99,3.3,16.9,13.4,23.4,False
1991,8,0.91,1.0133,0.91,0.96,0.0,16.2,14.6,19.5,False
1992,5,0.71,1.02,2.67,0.0,7.9,18.5,13.3,24.3,True
1993,6,0.66,1.0246,2.9,0.0,9.1,19.6,15.3,24.4,True
1994,4,0.66,1.0272,2.89,0.0,10.3,20.9,14.3,26.9,True
1995,3,0.68,1.0232,2.94,0.0,9.4,22.2,15.7,28.3,True
1996,0,0.51,1.018,3.47,0.0,15.1,22.4,13.5,30.3,True
1997,0,0.47,1.0156,3.47,0.0,15.0,23.7,13.5,31.5,True
1998,6,0.54,1.0167,3.06,0.0,11.9,24.7,16.3,32.4,True
1999,5,0.62,1.0195,2.88,0.0,12.3,24.4,17.6,31.0,True
2000,4,0.61,1.0183,3.09,0.0,11.9,24.6,16.7,32.1,True
2001,6,0.64,1.0149,2.38,0.0,8.0,25.5,19.7,32.5,True
2002,5,0.8,1.0177,1.73,0.98,5.9,21.5,19.0,26.0,False
2003,5,0.71,1.0206,3.15,0.0,12.7,23.8,18.1,30.8,True
2004,4,0.68,1.0187,2.93,0.0,9.5,24.9,18.3,32.6,True
2005,3,0.66,1.0143,2.56,0.3,9.1,25.1,19.4,34.0,False
2006,4,0.8,1.0098,2.09,2.69,6.5,21.9,17.5,30.0,False
2007,7,0.74,1.0122,2.29,0.33,5.1,19.9,16.0,25.0,False
2008,6,0.72,1.0185,1.79,0.14,2.3,17.2,14.6,21.1,False
2009,8,0.8,1.0228,1.39,0.0,0.3,18.0,14.7,21.2,True
2010,2,0.7,1.0175,2.67,0.0,10.6,21.3,15.6,26.8,True
2011,5,0.79,1.012,1.37,1.0,4.6,18.5,13.2,29.0,False
2012,4,0.66,1.0165,3.03,0.23,10.5,15.6,11.3,20.5,False
2013,7,0.8,1.0137,1.27,1.49,1.0,14.6,11.1,18.3,False
2014,8,0.82,1.0153,1.08,0.51,0.7,13.5,11.6,17.0,False
2015,7,0.79,1.0166,1.59,0.01,1.9,14.1,11.6,18.3,False
2016,7,0.75,1.0182,2.68,0.0,7.4,16.1,10.4,22.0,True
2017,6,0.83,1.0211,1.98,0.81,5.2,17.0,11.9,22.9,False
2018,5,0.89,1.0248,1.79,1.91,3.0,16.9,13.6,22.4,False
2019,7,0.86,1.0238,2.07,0.82,4.7,17.8,14.3,25.2,False
2020,3,0.7,1.0209,2.94,0.0,11.7,20.4,13.3,27.4,True
2021,1,0.54,1.0197,3.34,0.0,14.5,22.1,13.3,30.1,True
2022,4,0.54,1.017,2.97,0.04,10.3,23.4,16.1,30.9,False
2023,6,0.68,1.0154,1.93,0.02,6.4,22.9,17.9,28.3,False
2024,1,0.62,1.0145,3.11,0.0,12.9,23.7,17.3,30.3,True
2025,4,0.73,1.0116,1.81,1.47,4.9,21.1,17.3,27.4,False
2026,6,0.72,1.0205,1.99,0.01,3.4,18.8,14.6,22.8,False
2027,7,0.63,1.0241,2.04,0.11,3.8,18.7,13.9,22.7,False
2028,4,0.69,1.0197,2.44,0.0,5.7,18.9,14.8,23.1,True
2029,5,0.69,1.0149,1.7,0.0,3.5,17.6,13.1,20.0,True
2030,5,0.67,1.0119,2.42,0.01,5.9,18.2,11.8,23.3,False
2031,7,0.79,1.0102,1.24,0.92,0.4,19.0,15.9,23.7,False
2032,7,0.9,1.0107,0.82,0.23,0.2,18.8,17.4,21.0,False
2033,6,0.75,1.0123,2.78,0.02,7.9,21.5,17.2,26.8,False
2034,2,0.62,1.0105,2.93,0.0,12.2,25.4,16.9,33.6,True
2035,3,0.61,1.0115,2.88,0.0,12.4,26.8,20.4,34.6,True
2036,6,0.76,1.0137,1.99,1.51,5.1,22.4,17.3,29.7,False
2037,6,0.77,1.0164,1.66,0.0,2.8,19.2,15.2,23.4,True
2038,5,0.67,1.0166,2.64,0.0,8.1,18.5,13.5,23.7,True
2039,5,0.66,1.0167,2.64,0.2,8.4,19.1,13.1,24.5,False
2040,8,0.95,1.0179,0.23,1.63,0.0,15.3,14.5,16.2,False
2041,7,0.79,1.0216,1.55,0.08,2.7,17.4,14.4,22.8,False
2042,1,0.65,1.0247,3.0,0.0,11.7,17.6,12.4,22.9,True
2043,3,0.66,1.0218,2.72,0.13,9.9,18.2,10.7,24.8,False
2044,6,0.69,1.0184,1.79,0.0,2.2,18.0,15.4,21.5,True
2045,4,0.7,1.016,1.81,0.0,3.8,14.9,11.1,18.2,True
2046,3,0.69,1.0181,2.42,0.0,8.8,14.0,9.1,19.3,True
2047,0,0.63,1.0159,3.03,0.0,13.2,15.8,8.7,23.2,True
2048,1,0.67,1.0142,2.93,0.0,12.7,17.3,9.9,24.3,True
2049,4,0.67,1.0152,2.84,0.0,11.7,16.7,10.9,22.7,True
2050,3,0.68,1.0155,2.7,0.3,10.3,18.5,11.1,26.5,False
2051,6,0.72,1.0189,2.23,0.0,5.8,17.7,13.3,23.5,True
2052,7,0.82,1.0172,0.82,0.51,1.0,15.0,12.4,20.0,False
2053,8,0.9,1.0208,0.62,0.68,0.0,13.6,11.5,15.4,False
2054,6,0.79,1.0202,1.66,0.0,5.1,16.0,12.2,21.2,True
2055,1,0.7,1.017,2.77,0.0,12.6,18.4,10.1,25.6,True
2056,3,0.68,1.0145,2.49,0.0,10.3,20.6,14.7,27.8,True
2057,5,0.72,1.0162,1.64,0.1,5.4,19.8,16.4,25.8,False
2058,7,0.85,1.0184,0.91,0.26,0.2,16.2,15.0,19.5,False
2059,8,0.94,1.0151,0.23,2.2,0.0,15.1,13.8,16.3,False
2060,8,0.9,1.0132,0.44,0.22,0.0,17.1,15.9,19.4,False
2061,7,0.78,1.0157,1.86,0.0,3.7,17.9,15.2,22.0,True
2062,7,0.79,1.0151,1.63,0.0,5.1,18.0,15.4,22.9,True
2063,8,0.84,1.0119,0.82,0.47,0.1,17.3,15.2,21.9,False
2064,6,0.76,1.0189,1.69,0.0,3.1,16.5,12.9,21.3,True
2065,7,0.75,1.0184,1.89,0.0,3.4,16.3,11.2,21.2,True
2066,2,0.72,1.0211,2.25,0.0,9.6,17.4,12.3,23.4,True
2067,0,0.75,1.0228,2.51,0.0,12.3,18.5,11.6,25.6,True
2068,1,0.75,1.0223,2.44,0.0,12.2,21.2,14.4,28.2,True
2069,1,0.71,1.0164,2.41,0.0,12.0,22.6,16.2,29.9,True
2070,3,0.73,1.0169,2.04,0.0,8.7,22.0,17.4,26.9,True
2071,5,0.78,1.0225,2.02,0.0,7.6,21.4,17.5,27.1,True
2072,3,0.78,1.0239,2.02,0.0,6.8,21.3,16.4,27.0,True
2073,1,0.78,1.0216,2.11,0.0,7.5,20.1,15.4,26.0,True
2074,3,0.71,1.0157,1.99,0.01,8.7,19.9,14.8,27.5,False
2075,3,0.69,1.0114,2.17,0.0,9.9,20.7,15.6,27.5,True
2076,2,0.7,1.0128,2.27,0.0,11.8,20.0,13.7,27.0,True
2077,3,0.66,1.0143,2.21,0.12,11.0,21.4,15.0,28.4,False
2078,6,0.82,1.0114,1.41,0.04,2.5,19.9,17.4,24.8,False
2079,6,0.82,1.0114,1.29,1.83,2.1,18.8,15.0,24.2,False
2080,7,0.85,1.011,0.95,0.3,0.8,16.3,15.1,18.7,False
2081,6,0.82,1.0159,1.15,0.0,3.4,16.7,14.8,20.6,True
2082,8,0.9,1.0234,0.57,0.01,0.2,16.5,14.5,18.5,False
2083,8,0.82,1.0251,0.96,0.0,0.3,17.4,14.1,21.0,True
2084,7,0.79,1.0204,1.4,0.0,3.0,17.2,12.8,22.0,True
2085,7,0.78,1.0096,1.31,1.6,3.6,16.2,9.9,22.8,False
2086,7,0.81,1.0179,0.55,0.0,0.7,10.3,6.5,14.1,False
2087,7,0.73,1.0222,0.67,0.0,0.2,9.9,5.3,13.9,False
2088,8,0.78,1.0227,0.87,0.0,0.7,10.1,6.9,13.7,False
2089,3,0.76,1.0239,1.89,0.0,8.2,11.4,6.2,17.3,False
2090,2,0.76,1.0213,1.99,0.0,11.3,11.6,5.0,18.8,True
2091,1,0.75,1.0202,1.97,0.0,11.2,12.2,6.0,19.0,True
2092,1,0.76,1.0181,1.87,0.0,10.6,15.0,9.0,22.5,True
2093,2,0.76,1.0179,1.74,0.0,9.3,15.9,10.8,22.6,True
2094,5,0.76,1.0153,1.61,0.0,7.1,16.5,11.3,23.2,True
2095,8,0.81,1.0213,0.96,0.0,1.4,16.4,13.1,19.8,True
2096,7,0.85,1.0219,0.76,0.0,1.2,15.6,13.2,19.8,True
2097,7,0.79,1.0225,0.77,0.0,1.1,15.1,12.9,18.4,True
2098,7,0.76,1.0222,0.81,0.0,0.8,13.5,10.0,16.6,False
2099,6,0.77,1.0256,1.23,0.0,3.1,11.7,7.8,16.0,False
2100,8,0.9,1.0181,0.41,1.54,0.0,12.2,10.4,14.0,False
2101,7,0.92,1.0197,0.45,0.8,0.0,10.3,8.9,12.5,False
2102,8,0.94,1.0226,0.15,0.56,0.0,10.0,9.2,10.6,False
2103,8,0.95,1.0205,0.27,0.66,0.0,11.9,10.3,13.0,False
2104,7,0.89,1.0219,0.97,0.01,2.0,12.4,8.0,15.4,False
2105,8,0.92,1.0215,0.4,0.0,0.0,13.3,11.7,15.3,False
2106,5,0.85,1.0195,1.13,0.0,3.7,13.9,10.5,18.6,True
2107,3,0.83,1.0204,1.53,0.0,8.8,13.9,9.7,19.9,True
2108,3,0.79,1.0237,1.59,0.0,9.2,13.6,8.9,21.1,True
2109,1,0.86,1.0228,1.57,0.0,9.9,12.5,7.0,18.5,True
2110,4,0.85,1.0193,1.47,0.0,8.3,13.2,8.8,18.6,True
2111,3,0.8,1.0184,1.46,0.0,9.4,13.5,9.1,19.8,True
2112,4,0.79,1.0197,1.4,0.0,8.8,12.2,7.7,19.6,True
2113,1,0.78,1.0256,1.43,0.0,8.4,11.3,5.5,19.0,True
2114,2,0.82,1.0271,1.38,0.0,7.6,10.6,5.0,17.4,False
2115,2,0.86,1.0253,1.38,0.0,7.6,10.0,6.5,14.8,False
2116,4,0.79,1.0225,1.17,0.0,6.2,9.7,6.8,13.4,False
2117,4,0.75,1.0206,1.26,0.0,7.4,7.9,5.3,11.6,False
2118,8,0.88,1.0185,0.55,0.37,0.3,9.3,7.3,12.6,False
2119,5,0.87,1.0149,1.08,0.0,4.3,12.7,8.8,18.7,True
2120,5,0.84,1.0099,0.92,0.16,2.4,13.9,9.9,20.1,False
2121,7,0.89,1.0097,0.68,1.82,1.7,14.8,12.7,19.4,False
2122,7,0.88,1.0174,0.42,0.02,0.6,13.2,10.2,15.6,False
2123,6,0.87,1.0216,0.96,0.0,3.6,12.3,8.9,16.9,False
2124,7,0.7,1.0184,0.84,0.0,2.6,14.7,9.7,21.2,True
2125,5,0.7,1.0218,1.04,0.0,7.0,15.8,10.1,21.1,True
2126,1,0.79,1.0214,1.2,0.0,9.5,13.4,7.8,20.3,True
2127,1,0.77,1.0204,1.18,0.0,8.9,13.6,8.2,20.9,True
2128,2,0.76,1.0196,1.1,0.0,8.5,13.7,9.7,19.5,True
2129,1,0.73,1.0182,1.12,0.0,9.0,13.7,9.2,19.9,True
2130,7,0.74,1.0144,0.65,0.21,2.2,13.6,8.1,18.6,False
2131,7,0.82,1.0196,0.66,0.02,2.1,13.3,10.3,17.0,False
2132,7,0.83,1.0198,0.53,0.17,0.3,11.9,8.4,15.4,False
2133,2,0.8,1.0185,1.0,0.01,7.6,13.9,10.6,19.6,False
2134,7,0.87,1.0179,0.42,0.89,0.8,12.5,10.3,16.3,False
2135,6,0.82,1.0272,0.7,0.0,2.3,9.6,5.4,12.3,False
2136,2,0.84,1.028,0.93,0.0,6.1,6.6,2.9,11.8,False
2137,3,0.81,1.0276,0.77,0.0,4.4,7.1,2.6,12.2,False
2138,3,0.8,1.0246,0.92,0.0,7.1,7.4,2.8,12.9,False
2139,5,0.88,1.0249,0.78,0.0,4.7,6.7,3.6,11.4,False
2140,8,0.9,1.0349,0.16,0.0,0.0,8.8,5.1,10.9,False
2141,6,0.88,1.0309,0.39,0.0,0.2,8.2,4.9,11.3,False
2142,7,0.86,1.02,0.59,0.0,1.9,7.2,4.2,10.8,False
2143,4,0.9,1.0205,0.78,0.0,4.5,5.8,2.9,9.4,False
2144,8,0.83,1.0237,0.15,0.0,0.0,4.7,3.9,6.1,False
2145,6,0.86,1.0145,0.74,0.0,4.5,5.0,3.1,7.8,False
2146,8,0.88,1.0068,0.19,0.1,0.0,5.9,4.0,8.3,False
2147,4,0.82,1.0154,0.57,0.0,2.9,2.9,-0.5,7.0,False
2148,7,0.81,1.0223,0.5,0.0,1.6,2.1,-1.7,5.3,False
2149,1,0.9,1.0302,0.71,0.01,4.3,-0.5,-2.8,3.0,False
2150,6,0.84,1.0335,0.76,0.0,5.6,-0.4,-3.9,3.9,False
2151,5,0.8,1.0309,0.36,0.0,2.4,1.0,-3.7,4.6,False
2152,2,0.68,1.032,0.83,0.0,7.3,1.5,-1.2,4.6,False
2153,6,0.67,1.0291,0.36,0.0,2.4,0.7,-2.4,3.6,False
2154,5,0.66,1.0186,0.73,0.32,6.1,-2.2,-4.9,-0.2,False
2155,4,0.78,0.9979,0.69,0.1,4.8,0.5,-2.1,3.1,False
2156,4,0.77,0.9974,0.7,0.0,7.0,-1.3,-3.8,3.3,False
2157,7,0.81,0.9998,0.3,0.01,0.0,-1.4,-5.7,2.5,False
2158,8,0.8,1.0037,0.21,0.8,0.0,2.2,1.2,3.8,False
2159,8,0.96,1.007,0.19,0.61,0.0,1.9,0.5,3.1,False
2160,8,0.92,1.0149,0.16,0.02,0.0,1.3,0.3,2.2,False
2161,4,0.83,1.0121,0.55,0.0,3.3,0.7,-1.5,3.1,False
